pdf,Title,page,case_No,last_page
b10,United States v. LTV Corp.,515,32,534.0
b10,"Int'l Wood Processors v. Power Dry, Inc.",535,33,566.0
b10,"F. Buddie Contracting, Inc. v. Seawright",567,34,592.0
b10,Grado v. Gross,593,35,601.0
b10,Alexander Grant & Co. v. Tiffany Indus.,602,36,608.0
b10,Hood v. Tenneco Texas Life Ins. Co.,609,37,618.0
b10,Hybud Equipment Corp. v. Akron,619,38,636.0
b10,Lemelson v. Bendix Corp.,637,39,643.0
b10,"James Julian, Inc. v. Raytheon Co.",644,40,658.0
b10,"Roland Machinery Co. v. Dresser Industries, Inc.",659,41,682.0
b10,"Terre Du Lac Asso. v. Terre Du Lac, Inc.",683,42,687.0
b10,In re Folding Carton Antitrust Litigation,688,43,694.0
b10,Summers v. Federal Deposit Ins. Corp.,695,44,698.0
b10,D & R Distributing Co. v. Chambers Corp.,699,45,718.0
b10,"United States v. Waste Management, Inc.",719,46,727.0
b10,"Western Shoe Gallery, Inc. v. Duty Free Shoppers, Ltd.",728,47,734.0
b10,"FTC v. Warner Communications, Inc.",735,48,747.0
b10,"Airweld, Inc. v. Airco, Inc.",748,49,759.0
b10,"Eurim-Pharm GmbH v. Pfizer, Inc.",760,50,765.0
b10,Coal Exporters Asso. v. United States,766,51,789.0
b10,"Mozart Co. v. Mercedes-Benz of North America, Inc.",790,52,808.0
b10,"General Leaseways, Inc. v. National Truck Leasing Asso.",809,53,818.0
b10,"Advisory Information & Management Systems, Inc. v. Prime Computer, Inc.",819,54,831.0
b10,Nat'l Bancard Corp. v. Visa,832,55,867.0
b10,Vogel v. American Soc. of Appraisers,868,56,874.0
b10,Battipaglia v. New York State Liquor Authority,875,57,890.0
b10,Ohio-Sealy Mattress Mfg. Co. v. Kaplan,891,58,901.0
b10,"Package Shop, Inc. v. Anheuser-Busch, Inc.",902,59,942.0
b10,Auburn ex rel. Board of Public Works & Safety v. Mavis,943,60,947.0
b10,Hayden v. Bracy,948,61,955.0
b10,Kalmanovitz v. G. Heileman Brewing Co.,956,62,976.0
b10,Pa. Dental Ass'n v. Med. Serv. Ass'n,977,63,993.0
b10,De Modena v. Kaiser Found. Health Plan,994,64,1002.0
b10,Glictronix Corp. v. American Tel. & Tel. Co.,1003,65,1042.0
b10,"Monmouth Real Estate Inv. Trust v. Manville Foodland, Inc.",1043,66,1049.0
b10,Haff v. Jewelmont Corp.,1050,67,1067.0
b10,Souza v. Estate of Bishop,1068,68,1079.0
b10,Ind. Fed'n of Dentists v. Ftc,1080,69,1102.0
b10,"United States v. American Airlines, Inc.",1103,70,1113.0
b10,COMPACT v. Metropolitan Government of Nashville & Davidson County,1114,71,1128.0
b10,"Haroco, Inc. v. American Nat'l Bank & Trust Co.",1129,72,1153.0
b10,Nishimura v. Dolan,1154,73,1170.0
b10,"Innovation Data Processing, Inc. v. International Business Machines Corp.",1171,74,1173.0
b10,"In re Ray Dobbins Lincoln-Mercury, Inc.",1174,75,1176.0
b10,"Tom Hudson & Associates, Inc. v. Chula Vista",1177,76,1183.0
b10,"Deak-Perera Hawaii, Inc. v. Department of Transp.",1184,77,1187.0
b10,Ficker v. Chesapeake & Potomac Tel. Co.,1188,78,1195.0
b10,"Rothery Storage & Van Co. v. Atlas Van Lines, Inc.",1196,79,1218.0
b10,"Hydro Air of Connecticut, Inc. v. Versa Techs., Inc.",1219,80,1227.0
b10,"Marrese v. Interqual, Inc.",1228,81,1252.0
b10,Olympia Co. v. Celotex Corp.,1253,82,1280.0
b10,Regents of University of California v. American Broadcasting Cos.,1281,83,1296.0
b10,"Rothery Storage & Van Co. v. Atlas Van Lines, Inc.",1297,84,1314.0
b10,"Out Front Productions, Inc. v. Magid",1315,85,1323.0
b10,"Stearns v. Genrad, Inc.",1324,86,1330.0
b10,Manego v. Orleans Bd. of Trade,1331,87,1340.0
b10,"Information Resources, Inc. v. A.C. Nielsen Co.",1341,88,1346.0
b10,Kartell v. Blue Shield,1347,89,1359.0
b10,"Ralph C. Wilson Industries, Inc. v. American Broadcasting Cos.",1360,90,1376.0
b10,Ballo v. James S. Black Co.,1377,91,1387.0
b10,McGlinchy v. Shell Chemical Co.,1388,92,1393.0
b10,"Mizlou Television Network, Inc. v. National Broadcasting Co.",1394,93,1404.0
b10,Walker v. U-Haul Co. of Mississippi,1405,94,1409.0
b10,"National Independent Theatre Exhibitors, Inc. v. Charter Financial Group, Inc.",1410,95,1418.0
b10,Bender v. Southland Corp.,1419,96,1428.0
b10,General Battery Corp. v. Slaton,1429,97,1440.0
b10,"National Independent Theatre Exhibitors, Inc. v. Buena Vista Distribution Co.",1441,98,1450.0
b10,United States v. American Cyanamid Co.,1451,99,1459.0
b10,Hartsock-Flesher Candy Co. v. Wheeling Wholesale Grocery Co.,1460,100,
b2,West Texas Utilities Co. v. Texas Electric Service Co.,21,1,48.0
b2,Armstrong v. O'Connell,49,2,64.0
b2,"Missouri v. National Organization for Women, Inc.",65,3,79.0
b2,North American Soccer League v. National Football League,80,4,94.0
b2,Great Atlantic & Pacific Tea Co. v. Federal Trade Comm'n,95,5,112.0
b2,Group Life & Health Ins. Co. v. Royal Drug Co.,113,6,143.0
b2,"Professional Beauty Supply, Inc. v. National Beauty Supply, Inc.",144,7,155.0
b2,Century Hardware Corp. v. Acme United Corp.,156,8,164.0
b2,"Huron Valley Hospital, Inc. v. Pontiac",165,9,179.0
b2,Murphy Tugboat Co. v. Shipowners & Merchants Towboat Co.,180,10,204.0
b2,"Wilder Enterprises, Inc. v. Allied Artists Pictures Corp.",205,11,211.0
b2,Mullins v. Kaiser Steel Corp.,212,12,216.0
b2,"Cernuto, Inc. v. United Cabinet Corp.",217,13,227.0
b2,Pireno v. New York State Chiropratic Asso.,228,14,238.0
b2,"United States v. Southern Motor Carriers Rate Conference, Inc.",239,15,260.0
b2,"Knutson v. Daily Review, Inc.",261,16,274.0
b2,"Paceco, Inc. v. Ishikawajima-Harima Heavy Industries Co.",275,17,285.0
b2,"Mid-West Paper Products Co. v. Continental Group, Inc.",286,18,316.0
b2,"Elida, Inc. v. Harmor Realty Corp.",317,19,325.0
b2,"Mannington Mills, Inc. v. Congoleum Corp.",326,20,343.0
b2,Fradette v. American Service Corp.,344,21,348.0
b2,Mason City Center Associates v. Mason City,349,22,358.0
b2,"Consolidated Express, Inc. v. New York Shipping Asso.",359,23,393.0
b2,"Broadcast Music, Inc. v. Columbia Broadcasting System, Inc.",394,24,417.0
b2,In re Armored Car Antitrust Litigation,418,25,448.0
b2,"Caribe Trailers Systems, Inc. v. Puerto Rico Maritime Shipping Authority",449,26,465.0
b2,United States v. Foley,466,27,482.0
b2,Industrial Inv. Dev. Corp. v. Mitsui & Co.,483,28,491.0
b2,In re Uranium Antitrust Litig.,492,29,507.0
b2,"Mac Adjustment, Inc. v. General Adjustment Bureau, Inc.",508,30,514.0
b2,"Amalgamated Meat Cutters & Butchers Workmen v. Wetterau Foods, Inc.",515,31,521.0
b2,"Handgards, Inc. v. Ethicon, Inc.",522,32,536.0
b2,Newspaper Printing Corp. v. Galbreath,537,33,542.0
b2,People ex rel. Freitas v. City and County of San Francisco,543,34,552.0
b2,Hecht Co. v. Southern Union Co.,553,35,562.0
b2,In re Ampicillin Antitrust Litig.,563,36,566.0
b2,"McCourt v. California Sports, Inc.",567,37,591.0
b2,Shapiro v. General Motors Corp.,592,38,621.0
b2,In re Corrugated Container Antitrust Litigation,622,39,624.0
b2,Connecticut v. Levi Strauss & Co.,625,40,633.0
b2,Minnesota by Spannaus v. American Crystal Sugar Co.,634,41,635.0
b2,"Optivision, Inc. v. Syracuse Shopping Center Associates",636,42,657.0
b2,Far Eastern Coconut Co. v. Sun Ripe Coconut Corp.,658,43,661.0
b2,Arizona v. Maricopa County Medical Soc.,662,44,669.0
b2,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,670,45,722.0
b2,Reiter v. Sonotone Corp.,723,46,735.0
b2,"LK Productions, Inc. v. American Federation of Television & Radio Artists",736,47,758.0
b2,Times Mirror Co. v. Federal Trade Com.,759,48,768.0
b2,"California Computer Products, Inc. v. International Business Machines Corp.",769,49,790.0
b2,Outboard Marine Corp. v. Pezetel,791,50,804.0
b2,"Berkey Photo, Inc. v. Eastman Kodak Co.",805,51,850.0
b2,Neugebauer v. A. S. Abell Co.,851,52,868.0
b2,GRAMS v. BOSS,869,53,876.0
b2,Fruehauf Corp. v. Federal Trade Com.,877,54,893.0
b2,"McNulty v. Borden, Inc.",894,55,904.0
b2,Central Iowa Power Cooperative v. Federal Energy Regulatory Com.,905,56,920.0
b2,Security Tire & Rubber Co. v. Gates Rubber Co.,921,57,927.0
b2,"Larry v. Muko, Inc. v. Southwestern Pennsylvania Bldg. & Constr. Trades Council",928,58,945.0
b2,"United States v. Continental Group, Inc.",946,59,969.0
b2,"Sherman v. British Leyland Motors, Ltd.",970,60,994.0
b2,Juneau Square Corp. v. First Wisconsin Nat'l Bank,995,61,1010.0
b2,"Mannington Mills, Inc. v. Congoleum Indus.",1011,62,1028.0
b2,N. Am. Soccer League v. Nfl,1029,63,1030.0
b2,Amalgamated Clothing & Textile Workers Union v. J. P. Stevens & Co.,1031,64,1040.0
b2,People v. Roth,1041,65,1045.0
b2,In re Beef Industry Antitrust Litigation,1046,66,1071.0
b2,"Catalano, Inc. v. Target Sales, Inc.",1072,67,1080.0
b2,"People v. Mobile Magic Sales, Inc.",1081,68,1093.0
b2,Card v. National Life Ins. Co.,1094,69,1101.0
b2,Jennings Oil Co. v. Mobil Oil Corp.,1102,70,1108.0
b2,"Anderson Foreign Motors, Inc. v. New England Toyota Distributors, Inc.",1109,71,1126.0
b2,Penne v. Greater Minneapolis Area Board of Realtors,1127,72,1134.0
b2,"Las Vegas Drive-In Theatre, Inc. v. National General Theatres, Inc.",1135,73,1140.0
b2,"Fischer, Spuhl, Herzwurm & Associates, Inc. v. Forrest T. Jones & Co.",1141,74,1151.0
b2,State v. Heritage Realty,1152,75,1157.0
b2,In re Fertilizer Antitrust Litigation,1158,76,1167.0
b2,United States v. Tracinda Inv. Corp.,1168,77,1205.0
b2,"International Asso. of Machinists & Aerospace Workers, (""IAM"") v. Organization of Petroleum Exporting Countries (""OPEC"")",1206,78,1236.0
b2,Photovest Corp. v. Fotomat Corp.,1237,79,1263.0
b2,"Champaign-Urbana News Agency, Inc. v. J. L. Cummins News Co.",1264,80,1275.0
b2,Reading Indus. v. Kennecott Copper Corp.,1276,81,1286.0
b2,"Encoder Communications, Inc. v. Telegen, Inc.",1287,82,1291.0
b2,"Aladdin Oil Co. v. Texaco, Inc.",1292,83,1303.0
b2,Bass v. Boston Five Cent Sav. Bank,1304,84,1313.0
b2,In re Fine Paper Antitrust Litigation,1314,85,1318.0
b2,Oleksy v. Sisters of Mercy,1319,86,1331.0
b2,Citicorp v. Interbank Card Asso.,1332,87,1342.0
b2,Duryea v. Third Northwestern Nat'l Bank,1343,88,1346.0
b2,Hometowne Builders v. Atlantic Nat'l Bank,1347,89,1354.0
b2,H. J. Hodes & Co. v. Triangle Brass & Specialties Co.,1355,90,1367.0
b2,Byars v. Bluff City News Co.,1368,91,1391.0
b2,"Open Pantry Food Marts, Inc. v. Falcone",1392,92,1396.0
b2,"Wilson P. Abraham Constr. Corp. v. Texas Industries, Inc.",1397,93,1409.0
b2,In re IBM Peripheral EDP Devices Antitrust Litigation,1410,94,1457.0
b2,"Suburban Mobile Homes, Inc. v. AMFAC Communities, Inc.",1458,95,1469.0
b2,Arnott v. American Oil Co.,1470,96,1491.0
b2,"Ambook Enterprises v. Time, Inc.",1492,97,1509.0
b2,"Essential Communications Systems, Inc. v. American Tel. & Tel. Co.",1510,98,1521.0
b2,"Perington Wholesale, Inc. v. Burger King Corp.",1522,99,1535.0
b2,Consolidated Farmers Mut. Ins. Co. v. Anchor Sav. Asso.,1536,100,
b3,Bartholomew v. Virginia Chiropractors Asso.,21,1,30.0
b3,Hew Corp. v. Tandy Corp.,31,2,37.0
b3,Associated General Contractors v. Otter Tail Power Co.,38,3,49.0
b3,Guild Wineries & Distilleries v. J. Sosnick & Sons,50,4,61.0
b3,"Anti-Monopoly, Inc. v. Gen. Mills Fun Grp.",62,5,73.0
b3,Exxon Corp. v. Georgia Asso. of Petroleum Retailers,74,6,90.0
b3,United States v. Azzarelli Constr. Co.,91,7,100.0
b3,"Blair Foods, Inc. v. Ranchers Cotton Oil",101,8,110.0
b3,"Schwegmann Bros. Giant Super Markets v. Almaden Vineyards, Inc.",111,9,122.0
b3,"A. D. M. Corp. v. Sigma Instruments, Inc.",123,10,127.0
b3,"Broad. Music, Inc. v. Moor-Law, Inc.",128,11,140.0
b3,"Cowley v. Braden Industries, Inc.",141,12,146.0
b3,FTC v. Turner,147,13,158.0
b3,Cleveland v. Cleveland Electric Illuminating Co.,159,14,171.0
b3,"Zoslaw v. Columbia Broadcasting System, Inc.",172,15,187.0
b3,Carl Wagner & Sons v. Appendagez,188,16,204.0
b3,Guild Wineries & Distilleries v. J. Sosnick & Son,205,17,217.0
b3,In re Midwest Milk Monopolization Litigation,218,18,219.0
b3,Donald B. Rice Tire Co. v. Michelin Tire Corp.,220,19,232.0
b3,"First Beverages, Inc. v. Royal Crown Cola Co.",233,20,245.0
b3,Ohio-Sealy Mattress Mfg. Co. v. Duncan,246,21,262.0
b3,"Suburban Mobile Homes, Inc. v. AMFAC Communities, Inc.",263,22,276.0
b3,Younger v. Jensen,277,23,299.0
b3,Ampex Corp. v. Memorex Corp.,300,24,306.0
b3,"Snelling & Snelling, Inc. v. Dupay Enters.",307,25,311.0
b3,"Mid-Nebraska Bancshares, Inc. v. Board of Governors of Federal Reserve System",312,26,321.0
b3,State v. Ginzburg,322,27,326.0
b3,Coldwell Banker & Co. v. Department of Insurance,327,28,349.0
b3,"Engine Specialties, Inc. v. Bombardier, Ltd.",350,29,353.0
b3,Transitron Electronic Corp. v. Hughes Aircraft Co.,354,30,376.0
b3,Ai v. Frank Huff Agency,377,31,389.0
b3,In re Data Corp.,390,32,424.0
b3,United States v. Federal Communications Com.,425,33,497.0
b3,Arizona v. Maricopa County Medical Soc.,498,34,514.0
b3,TV Signal Co. v. American Tel. & Tel.,515,35,525.0
b3,"Tennessee ex rel. Leech v. Highland Memorial Cemetery, Inc.",526,36,528.0
b3,"Missouri v. National Organization for Women, Inc.",529,37,555.0
b3,Bogosian v. Gulf Oil Corp.,556,38,560.0
b3,"Frank v. Kraft, Inc.",561,39,567.0
b3,CBS v. Am. Soc'y of Composers,568,40,576.0
b3,Golob & Sons v. Schaake Packing Co.,577,41,583.0
b3,De Jong Packing Co. v. United States Dep't of Agriculture,584,42,595.0
b3,"Carpet Seaming Tape Licensing Corp. v. Best Seam, Inc.",596,43,607.0
b3,Hillside Dairy Co. v. Fairmont Foods Co.,608,44,611.0
b3,"Almeda Mall, Inc. v. Houston Lighting & Power Co.",612,45,626.0
b3,Smitty Baker Coal Co. v. United Mine Workers,627,46,653.0
b3,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,654,47,684.0
b3,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,685,48,740.0
b3,Gainesville v. Florida Power & Light Co.,741,49,765.0
b3,Cantor v. Detroit Edison Co.,766,50,782.0
b3,"Mid-Texas Communications Systems, Inc. v. American Tel. & Tel. Co.",783,51,800.0
b3,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,801,52,812.0
b3,Cesnik v. Chrysler Corp.,813,53,824.0
b3,"Moles v. Morton F. Plant Hospital, Inc.",825,54,831.0
b3,"Yentsch v. Texaco, Inc.",832,55,845.0
b3,United States v. B. F. Goodrich Co.,846,56,849.0
b3,"H. A. Artists & Associates, Inc. v. Actors Equity Asso.",850,57,853.0
b3,Cmty. Communications Co. v. Boulder,854,58,870.0
b3,Borger v. Yamaha International Corp.,871,59,879.0
b3,"Hester v. Martindale-Hubbell, Inc.",880,60,889.0
b3,Midland Telecasting Co. v. Midessa Television Co.,890,61,898.0
b3,Minnesota-Iowa Television Co. v. Watonwan T.V. Improv. Asso.,899,62,913.0
b3,National Union Elec. Corp. v. Matsushita Elec. Indus. Co.,914,63,933.0
b3,"Purity Supreme, Inc. v. Attorney Gen.",934,64,949.0
b3,"Executone of Philadelphia, Inc. v. Pennsylvania Public Utility Com.",950,65,954.0
b3,"Robert's Waikiki U-Drive, Inc. v. Budget Rent-A-Car Systems, Inc.",955,66,986.0
b3,"International Travel Arrangers, Inc. v. Western Airlines, Inc.",987,67,1013.0
b3,Pomanowski v. Monmouth County Bd. of Realtors,1014,68,1018.0
b3,"Jou-Jou Designs, Inc. v. International Ladies Garment Workers Union",1019,69,1035.0
b3,"Soo Hardwoods, Inc. v. Universal Oil Products Co.",1036,70,1039.0
b3,"Tim W. Koerner & Associates, Inc. v. Aspen Labs, Inc.",1040,71,1051.0
b3,Brown v. Cameron-Brown Co.,1052,72,1066.0
b3,Chirikos v. Yellow Cab Co.,1067,73,1076.0
b3,Virginia Academy of Clinical Psychologists v. Blue Shield of Virginia,1077,74,1087.0
b3,Allied Int'l v. International Longshoremen's Ass'n,1088,75,1092.0
b3,"Altemose Constr. Co. v. Atlantic, Cape May . . . Counties Bldg. Trades Council",1093,76,1105.0
b3,In re Folding Carton Antitrust Litigation,1106,77,1108.0
b3,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,1109,78,1115.0
b3,Feather v. United Mine Workers,1116,79,1133.0
b3,Grams v. Boss,1134,80,1148.0
b3,"Morse v. Swank, Inc.",1149,81,1155.0
b3,Vermont International Petroleum Co. v. Amerada Hess Corp.,1156,82,1168.0
b3,Allied Artists Pictures Corp. v. Rhodes,1169,83,1215.0
b3,"Anderson Foreign Motors, Inc. v. New England Toyota Distributor, Inc.",1216,84,1224.0
b3,"Havoco of America, Ltd. v. Shell Oil Co.",1225,85,1234.0
b3,Clarke v. Amerada Hess Corp.,1235,86,1244.0
b3,Katinsky v. Radio Shack Div. of Tandy Corp.,1245,87,1253.0
b3,"Golden West Insulation, Inc. v. Stardust Inv. Corp.",1254,88,1266.0
b3,Northeastern Tel. Co. v. American Tel. & Tel. Co.,1267,89,1288.0
b3,"State v. Lawn King, Inc.",1289,90,1308.0
b3,"State v. Hossan-Maxwell, Inc.",1309,91,1318.0
b3,United States v. Colonial Chevrolet Corp.,1319,92,1327.0
b3,Grendel's Den v. Goodwin,1328,93,1340.0
b3,Ingram Corp. v. J. Ray McDermott & Co.,1341,94,1358.0
b3,"Hunt-Wesson Foods, Inc. v. Ragu Foods, Inc.",1359,95,1368.0
b3,Cleveland v. Cleveland Electric Illuminating Co.,1369,96,1387.0
b3,"Quality Auto Body, Inc. v. Allstate Ins. Co.",1388,97,1395.0
b3,"Copper Liquor, Inc. v. Adolph Coors Co.",1396,98,1408.0
b3,Illinois v. Sangamo Constr. Co.,1409,99,1416.0
b3,In re Chicken Antitrust Litigation,1417,100,
b4,"Sound, Inc. v. American Tel. & Tel. Co.",21,1,33.0
b4,"Associated Radio Service Co. v. Page Airways, Inc.",34,2,57.0
b4,United Nuclear Corp. v. Gen. Atomic Co.,58,3,163.0
b4,"A.D.M. Corp. v. Sigma Instruments, Inc.",164,4,166.0
b4,Massena v. Niagara Mohawk Power Corp.,167,5,209.0
b4,Shell Oil Co. v. Department of Energy,210,6,213.0
b4,Independent Milk Producers Co-op v. Stoffel,214,7,220.0
b4,Osborn v. Pennsylvania-Delaware Service Station Dealers Asso.,221,8,228.0
b4,United States v. Texas Citrus & Vegetable Growers & Shippers,229,9,231.0
b4,Rosebrough Monument Co. v. Memorial Park Cemetery Ass'n,232,10,239.0
b4,"Thi-Hawaii, Inc. v. First Commerce Financial Corp.",240,11,246.0
b4,Mullins v. Kaiser Steel Corp.,247,12,279.0
b4,"Official Airline Guides, Inc. v. FTC",280,13,287.0
b4,"Laurie Visual Etudes, Inc. v. ChesebroughPond's Inc.",288,14,295.0
b4,"Human Resource Institute, Inc. v. Blue Cross of Virginia",296,15,301.0
b4,Reading Indus. v. Kennecott Copper Corp.,302,16,306.0
b4,In re Wiring Device Antitrust Litigation,307,17,315.0
b4,"Copy-Data Systems, Inc. v. Toshiba America, Inc.",316,18,318.0
b4,New York State Electric & Gas Corp. v. Federal Energy Regulatory Com.,319,19,339.0
b4,Van Dyk Research Corp. v. Xerox Corp.,340,20,347.0
b4,Freidco of Wilmington v. Farmers Bank of Del.,348,21,356.0
b4,"Hartford Distributors, Inc. v. Miller Brewing Co.",357,22,366.0
b4,"Wilder Enterprises, Inc. v. Allied Artists Pictures Corp.",367,23,373.0
b4,AMA v. FTC,374,24,387.0
b4,In re Blackwelder Furniture Co.,388,25,400.0
b4,"United States v. Armored Transport, Inc.",401,26,408.0
b4,"Early v. Bristol Memorial Hospital, Inc.",409,27,411.0
b4,Gold Seal Liquors v. Great Waters of Fr.,412,28,416.0
b4,U. S. Indus. v. Norton Co.,417,29,448.0
b4,United States Indus. v. Norton Co.,449,30,480.0
b4,"Crouse-Hinds Co. v. Internorth, Inc.",481,31,484.0
b4,"Hawkins v. Holiday Inns, Inc.",485,32,488.0
b4,Health Care Equalization Committee of Iowa Chiropractic Soc. v. Iowa Medical Soc.,489,33,522.0
b4,"Linmont Properties, Inc. v. Newman",523,34,535.0
b4,In re Electric Weld Steel Tubing Antitrust Litigation,536,35,543.0
b4,Fleming v. Federal Trade Com.,544,36,549.0
b4,Auburn News Co. v. Providence Journal Co.,550,37,562.0
b4,"United States v. Realty Multi-List, Inc.",563,38,608.0
b4,North Am. Soccer League v. National Football League,609,39,641.0
b4,Michigan Asso. of Psychotherapy Clinics v. Blue Cross & Blue Shield,642,40,653.0
b4,"California State Council of Carpenters, etc. v. Associated General Contractors, Inc.",654,41,674.0
b4,Matanuska Maid v. State,675,42,693.0
b4,In re Folding Carton Antitrust Litigation,694,43,705.0
b4,Baldini v. New England Greyhound Asso.,706,44,708.0
b4,"Crouse-Hinds Co. v. Internorth, Inc.",709,45,769.0
b4,"Fairdale Farms, Inc. v. Yankee Milk, Inc.",770,46,781.0
b4,City Products Corp. v. Berman,782,47,787.0
b4,Carlo C. Gelardi Corp. v. Miller Brewing Co.,788,48,806.0
b4,"WIXT Television, Inc. v. Meredith Corp.",807,49,837.0
b4,WILSON v. NATIONAL WRESTLING ALLIANCE,838,50,839.0
b4,"Eutectic Corp. v. Metco, Inc.",840,51,843.0
b4,Eastern Dental Corp. v. Isaac Masel Co.,844,52,856.0
b4,"Roberts v. Elaine Powers Figure Salons, Inc.",857,53,871.0
b4,United States v. Federal Maritime Com.,872,54,882.0
b4,State v. Tacoma-Pierce County Multiple Listing Serv.,883,55,894.0
b4,"Duhamel v. Multiple Listing Service, Inc.",895,56,899.0
b4,Allied Int'l v. International Longshoremen's Ass'n,900,57,918.0
b4,United States v. American Tel. & Tel. Co.,919,58,922.0
b4,"Venture Technology, Inc. v. National Fuel Gas Co.",923,59,951.0
b4,"Ohio v. United Transp., Inc.",952,60,961.0
b4,In re Midwest Milk Monopolization Litigation,962,61,1048.0
b4,B. C. Recreational Indus. v. First Nat'l Bank,1049,62,1056.0
b4,Huberman v. Warminster Township,1057,63,1066.0
b4,Maine Auto. Dealers Asso. v. Tierney,1067,64,1070.0
b4,Coca-Cola Co. v. Federal Trade Com.,1071,65,1075.0
b4,In re Cement & Concrete Antitrust Litigation,1076,66,1080.0
b4,"Consolidated Express, Inc. v. New York Shipping Asso.",1081,67,1086.0
b4,"Giummo v. Citibank, N. A.",1087,68,1091.0
b4,"Co-Opportunities, Inc. v. NBC, Inc.",1092,69,1099.0
b4,Crane Co. v. Harsco Corp.,1100,70,1112.0
b4,National Bank of Canada v. Interbank Card Asso.,1113,71,1116.0
b4,"General Supplies, Inc. v. Southwire Co.",1117,72,1120.0
b4,"Red Diamond Supply, Inc. v. Liquid Carbonic Corp.",1121,73,1128.0
b4,"Sage International, Ltd. v. Cadillac Gage Co.",1129,74,1139.0
b4,All Am. Sch. Supply Co. v. Slavens,1140,75,1142.0
b4,JBL Enters. v. Jhirmack Enters.,1143,76,1164.0
b4,Mercantile Texas Corp. v. Board of Governors of Federal Reserve System,1165,77,1180.0
b4,Barry Wright Corp. v. ITT Grinnell Corp.,1181,78,1195.0
b4,"Denver v. Santa Barbara Community Dialysis Center, Inc.",1196,79,1205.0
b4,"United Ventures, Inc. v. Fountain Indus.",1206,80,1217.0
b4,Gowdish v. Eaton Corp.,1218,81,1225.0
b4,International Service Agencies v. United Way of New York State,1226,82,1228.0
b4,"Kinnett Dairies, Inc. v. Dairymen, Inc.",1229,83,1264.0
b4,Three Phoenix Co. v. Pace Indus.,1265,84,1272.0
b4,SCM Corp. v. Xerox Corp.,1273,85,1294.0
b4,Bally Mfg. Corp. v. N.J. Casino Control Com,1295,86,1309.0
b4,Chrysler Corp. v. Fedders Corp.,1310,87,1321.0
b4,"Balogh's of Coral Gables, Inc. v. Getz",1322,88,1330.0
b4,"Summit Office Park, Inc. v. United States Steel Corp.",1331,89,1341.0
b4,"Chatham Brass Co. v. Honeywell, Inc.",1342,90,1350.0
b4,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,1351,91,1423.0
b4,Billy Jack for Her v. New York Coat,1424,92,1443.0
b4,"D. E. Rogers Associates, Inc. v. Gardner-Denver Co.",1444,93,1451.0
b4,"Pollock v. Citrus Associates of New York Cotton Exchange, Inc.",1452,94,1461.0
b4,"Sharon Investment Corp., v. Spaghetti Place",1462,95,1469.0
b4,"Carpenters Local Union No. 1846 v. Pratt-Farnsworth, Inc.",1470,96,1485.0
b4,People v. Roth,1486,97,1493.0
b4,Hallie v. Chippewa Falls,1494,98,1498.0
b4,Marshall v. Miller,1499,99,1508.0
b4,"Richter Concrete Corp. v. Hilltop Basic Resources, Inc.",1509,100,
b5,Plumbers & Steamfitters Local v. Morris,21,1,32.0
b5,"Nationwide Mut. Ins. Co. v. Automotive Service Councils, Inc.",33,2,36.0
b5,Wineland v. Marketex Int'l,37,3,42.0
b5,Malcolm v. Marathon Oil Co.,43,4,70.0
b5,Island Tobacco Co. v. R. J. Reynolds Tobacco Co.,71,5,89.0
b5,"Island Tobacco Co. v. R. J. Reynolds Industries, Inc.",90,6,113.0
b5,"Tose v. First Pennsylvania Bank, N.A.",114,7,137.0
b5,Rahal v. Crestmont Cadillac Corp.,138,8,148.0
b5,West v. Whitney-Fidalgo Seafoods,149,9,161.0
b5,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,162,10,225.0
b5,J. Truett Payne Co. v. Chrysler Motors Corp.,226,11,236.0
b5,"Cordova & Simonpietri Ins. Agency, Inc. v. Chase Manhattan Bank N.A.",237,12,248.0
b5,Capital Tel. Co. v. Pattersonville Tel. Co.,249,13,250.0
b5,"California State Council of Carpenters, etc. v. Associated General Contractors, Inc.",251,14,254.0
b5,H. A. Artists & Assocs. v. Actors' Equity Ass'n,255,15,270.0
b5,Shea v. First Federal Sav. & Loan Asso.,271,16,287.0
b5,Tex. Indus. v. Radcliff Materials,288,17,301.0
b5,Williams v. First Federal Sav. & Loan Asso.,302,18,323.0
b5,Northeastern Tel. Co. v. Am. Tel. & Tel. Co.,324,19,342.0
b5,Rosack v. Volvo of America Corp.,343,20,359.0
b5,Chest Hill Co. v. Guttman,360,21,383.0
b5,"Feldman v. Sacramento Bd. of Realtors, Inc.",384,22,391.0
b5,Malini v. Singleton & Associates,392,23,396.0
b5,"United States v. Mercedes-Benz of North America, Inc.",397,24,419.0
b5,"Broadway Delivery Corp. v. United Parcel Service, Inc.",420,25,431.0
b5,In re Corrugated Container Antitrust Litigation,432,26,470.0
b5,"In re Grand Jury Investigation of Cuisinarts, Inc.",471,27,487.0
b5,"Glasofer Motors v. Osterlund, Inc.",488,28,500.0
b5,"Kenneth E. Curran, Inc. v. Auclair Transp.",501,29,504.0
