pdf,Title,Court,Date,No,page,Court_level,Argued,Decided,Others
b10,"Eurim-Pharm GmbH v. Pfizer, Inc.",United States District Court for the Southern District of New York,17-Sep-84,No. 83 CIV. 2430 (MJL),760,District,,,1984/09/17
b10,Coal Exporters Asso. v. United States,United States Court of Appeals for the District of Columbia Circuit,"March 14, 1984, Argued ; September 18, 1984","Nos. 83-1629, 83-1633",766,Appeal,1984/3/14,,1984/09/18
b10,"Mozart Co. v. Mercedes-Benz of North America, Inc.",United States District Court for the Northern District of California,18-Sep-84,No. C-81-0531-MHP,790,District,,,1984/09/18
b10,"General Leaseways, Inc. v. National Truck Leasing Asso.",United States Court of Appeals for the Seventh Circuit,"May 29, 1984, Argued ; September 19, 1984, Decided",No. 83-3173,809,Appeal,1984/5/29,1984/9/19,
b10,"Advisory Information & Management Systems, Inc. v. Prime Computer, Inc.","United States District Court for the Middle District of Tennessee, Nashville Division",20-Sep-84,No. 3-83-0972,819,District,,,1984/09/20
b10,Nat'l Bancard Corp. v. Visa,United States District Court for the Southern District of Florida,"September 20, 1984, Decided ; September 20, 1984, Filed",CASE NO. 79-6355-Civ-Hoeveler,832,District,,1984/9/20,1984/09/20
b10,Vogel v. American Soc. of Appraisers,United States Court of Appeals for the Seventh Circuit,"May 31, 1984, Argued ; September 20, 1984, Decided",No. 83-3218,868,Appeal,1984/5/31,1984/9/20,
b10,Battipaglia v. New York State Liquor Authority,United States Court of Appeals for the Second Circuit,"June 11, 1984, Argued ; September 21, 1984",No. 84-7168,875,Appeal,1984/6/11,,1984/09/21
b10,Ohio-Sealy Mattress Mfg. Co. v. Kaplan,United States Court of Appeals for the Seventh Circuit,"April 19, 1984, Argued ; September 21, 1984","Nos. 83-2321, 83-2405",891,Appeal,1984/4/19,,1984/09/21
b10,"Package Shop, Inc. v. Anheuser-Busch, Inc.",United States District Court for the District of New Jersey,"September 24, 1984, Decided",Civil Action No. 83-513,902,District,,1984/9/24,
b10,Auburn ex rel. Board of Public Works & Safety v. Mavis,"Court of Appeals of Indiana, Third District","September 25, 1984, Filed",No. 3-883 A 255,943,Appeal,,,1984/09/25
b10,Hayden v. Bracy,United States Court of Appeals for the Eighth Circuit,"June 14, 1984, Submitted ; September 27, 1984, Decided",No. 83-2401,948,Appeal,,1984/9/27,1984/06/14
b10,Kalmanovitz v. G. Heileman Brewing Co.,United States District Court for the District of Delaware,28-Sep-84,Action No. C83 0704,956,District,,,1984/09/28
b10,Pa. Dental Ass'n v. Med. Serv. Ass'n,United States Court of Appeals for the Third Circuit,"August 14, 1984, Argued ; October 1, 1984",No. 84-5004,977,Appeal,1984/8/14,,1984/10/01
b10,De Modena v. Kaiser Found. Health Plan,United States Court of Appeals for the Ninth Circuit,"November 7, 1983, Argued and Submitted ; October 2, 1984, Decided","Nos. 83-5720, 83-5721",994,Appeal,1983/11/7,1984/10/2,
b10,Glictronix Corp. v. American Tel. & Tel. Co.,United States District Court for the District of New Jersey,4-Oct-84,Civ. A. No. 82-4447,1003,District,,,1984/10/04
b10,"Monmouth Real Estate Inv. Trust v. Manville Foodland, Inc.","Superior Court of New Jersey, Appellate Division","September 12, 1984, Argued ; October 4, 1984, Decided",A-6187-82T3,1043,Superior,1984/9/12,1984/10/4,
b10,Haff v. Jewelmont Corp.,United States District Court for the Northern District of California,5-Oct-84,No. C-83-3104-MHP,1050,District,,,1984/10/05
b10,Souza v. Estate of Bishop,United States District Court for the District of Hawaii,5-Oct-84,Civil No. 79-0339,1068,District,,,1984/10/05
b10,Ind. Fed'n of Dentists v. Ftc,United States Court of Appeals for the Seventh Circuit,"February 9, 1984, Argued ; October 11, 1984",No. 83-1700,1080,Appeal,1984/2/9,,1984/10/11
b10,"United States v. American Airlines, Inc.",United States Court of Appeals for the Fifth Circuit,15-Oct-84,No. 83-1831,1103,Appeal,,,1984/10/15
b10,COMPACT v. Metropolitan Government of Nashville & Davidson County,"United States District Court for the Middle District of Tennessee, Nashville Division",18-Oct-84,No. 3-84-0853,1114,District,,,1984/10/18
b10,"Haroco, Inc. v. American Nat'l Bank & Trust Co.",United States Court of Appeals for the Seventh Circuit,"May 9, 1984, Argued ; October 19, 1984, Decided",No. 83-2529,1129,Appeal,1984/5/9,1984/10/19,
b10,Nishimura v. Dolan,United States District Court for the Eastern District of New York,19-Oct-84,Civil Action No. 83-0085,1154,District,,,1984/10/19
b10,"Innovation Data Processing, Inc. v. International Business Machines Corp.",United States District Court for the District of New Jersey,25-Oct-84,Civil Action No. 83-1452,1171,District,,,1984/10/25
b10,"In re Ray Dobbins Lincoln-Mercury, Inc.","United States District Court for the Western District of Virginia, Roanoke Division",25-Oct-84,"Bankruptcy Nos. 7-81-00242, 7-81-00243, Adv. Nos. 7-82-0206, 7-82-0207, Misc. Nos. 83-M-10-R, 83-M-9-R",1174,District,,,1984/10/25
b10,"Tom Hudson & Associates, Inc. v. Chula Vista",United States Court of Appeals for the Ninth Circuit,"May 15, 1984, Submitted ; October 25, 1984, Decided",No. 83-6467,1177,Appeal,,1984/10/25,1984/05/15
b10,"Deak-Perera Hawaii, Inc. v. Department of Transp.",United States Court of Appeals for the Ninth Circuit,"March 29, 1984, Argued and Submitted ; October 26, 1984",No. 83-1552,1184,Appeal,1984/3/29,,1984/10/26
b10,Ficker v. Chesapeake & Potomac Tel. Co.,United States District Court for the District of Maryland,29-Oct-84,Civil No. Y-83-4432,1188,District,,,1984/10/29
b10,"Rothery Storage & Van Co. v. Atlas Van Lines, Inc.",United States District Court for the District of Columbia,30-Oct-84,Civil Action No. 83-0450,1196,District,,,1984/10/30
b10,"Hydro Air of Connecticut, Inc. v. Versa Techs., Inc.",United States District Court for the District of Connecticut,31-Oct-84,Civ. No. N-81-145 (WWE),1219,District,,,1984/10/31
b10,"Marrese v. Interqual, Inc.",United States Court of Appeals for the Seventh Circuit,"March 29, 1984, Argued ; November 6, 1984, Decided",No. 83-1581,1228,Appeal,1984/3/29,1984/11/6,
b10,Olympia Co. v. Celotex Corp.,United States District Court for the Eastern District of Louisiana,9-Nov-84,Civil Action No. 76-373,1253,District,,,1984/11/09
b10,Regents of University of California v. American Broadcasting Cos.,United States Court of Appeals for the Ninth Circuit,"October 4, 1984, Argued and Submitted ; November 9, 1984, Decided",No. 84-6310,1281,Appeal,1984/10/4,1984/11/9,
b10,"Rothery Storage & Van Co. v. Atlas Van Lines, Inc.",United States District Court for the District of Columbia,9-Nov-84,Civil Action No. 83-0450,1297,District,,,1984/11/09
b10,"Out Front Productions, Inc. v. Magid",United States Court of Appeals for the Third Circuit,"April 6, 1984, Argued ; November 19, 1984, Decided",No. 83-1672,1315,Appeal,1984/4/6,1984/11/19,
b10,"Stearns v. Genrad, Inc.",United States Court of Appeals for the Fourth Circuit,"March 7, 1984, Argued ; November 20, 1984, Decided",No. 83-1611,1324,Appeal,1984/3/7,1984/11/20,
b10,Manego v. Orleans Bd. of Trade,United States District Court for the District of Massachusetts,27-Nov-84,Civ. A. No. 83-0045-C,1331,District,,,1984/11/27
b10,"Information Resources, Inc. v. A.C. Nielsen Co.","United States District Court for the Northern District of Illinois, Eastern Division",28-Nov-84,No. 84 C 6704,1341,District,,,1984/11/28
b10,Kartell v. Blue Shield,United States Court of Appeals for the First Circuit,"November 28, 1984, Decided","Nos. 84-1241, 84-1290, 84-1303",1347,Appeal,,1984/11/28,
b10,"Ralph C. Wilson Industries, Inc. v. American Broadcasting Cos.",United States District Court for the Northern District of California,28-Nov-84,No. C-80-4614 SC,1360,District,,,1984/11/28
b10,Ballo v. James S. Black Co.,"Court of Appeals of Washington, Division Three",29-Nov-84,No. 5581-7-III,1377,Appeal,,,1984/11/29
b10,McGlinchy v. Shell Chemical Co.,United States District Court for the Northern District of California,30-Nov-84,No. C-84-0474-SC,1388,District,,,1984/11/30
b10,"Mizlou Television Network, Inc. v. National Broadcasting Co.",United States District Court for the District of Columbia,30-Nov-84,Civil Action No. 84-1613,1394,District,,,1984/11/30
b10,Walker v. U-Haul Co. of Mississippi,United States Court of Appeals for the Fifth Circuit,3-Dec-84,No. 83-4035,1405,Appeal,,,1984/12/03
b10,"National Independent Theatre Exhibitors, Inc. v. Charter Financial Group, Inc.",United States Court of Appeals for the Eleventh Circuit,5-Dec-84,No. 82-8669,1410,Appeal,,,1984/12/05
b10,Bender v. Southland Corp.,United States Court of Appeals for the Sixth Circuit,"September 18, 1984, Argued ; December 7, 1984",No. 83-1525,1419,Appeal,1984/9/18,,1984/12/07
b10,General Battery Corp. v. Slaton,"Common Pleas Court of Berks County, Pennsylvania","December 12, 1984, Decided","no. 5250 Equity, 1984",1429,Common Pleas,,1984/12/12,
b10,"National Independent Theatre Exhibitors, Inc. v. Buena Vista Distribution Co.",United States Court of Appeals for the Eleventh Circuit,12-Dec-84,No. 83-8638,1441,Appeal,,,1984/12/12
b10,United States v. American Cyanamid Co.,United States District Court for the Southern District of New York,13-Dec-84,No. 60 Civ. 3857-CLB,1451,District,,,1984/12/13
b10,Hartsock-Flesher Candy Co. v. Wheeling Wholesale Grocery Co.,Supreme Court of Appeals of West Virginia,"December 14, 1984, Filed",No. CC939,1460,Supreme,,,1984/12/14
b2,West Texas Utilities Co. v. Texas Electric Service Co.,"United States District Court for the Northern District of Texas, Dallas Division",30-Jan-79,No. CA3-76-633-F,21,District,,,1979/01/30
b2,Armstrong v. O'Connell,United States District Court for the Eastern District of Wisconsin,8-Feb-79,Civ. A. No. 65-C-173,49,District,,,1979/02/08
b2,"Missouri v. National Organization for Women, Inc.","United States District Court for the Western District of Missouri, Central Division",21-Feb-79,No. 78 4053 CV C,65,District,,,1979/02/21
b2,North American Soccer League v. National Football League,United States District Court for the Southern District of New York,21-Feb-79,No. 78 Civ. 4560-CSH,80,District,,,1979/02/21
b2,Great Atlantic & Pacific Tea Co. v. Federal Trade Comm'n,Supreme Court of the United States,"December 4, 1978, Argued ; February 22, 1979, Decided",No. 77-654,95,Supreme,1978/12/4,1979/2/22,
b2,Group Life & Health Ins. Co. v. Royal Drug Co.,Supreme Court of the United States,"October 11, 1978, Argued ; February 27, 1979, Decided",No. 77-952,113,Supreme,1978/10/11,1979/2/27,
b2,"Professional Beauty Supply, Inc. v. National Beauty Supply, Inc.",United States Court of Appeals for the Eighth Circuit,"September 14, 1978, Submitted ; February 27, 1979, Decided",No. 78-1229,144,Appeal,,1979/2/27,1978/09/14
b2,Century Hardware Corp. v. Acme United Corp.,United States District Court for the Eastern District of Wisconsin,28-Feb-79,No. 77-C-316,156,District,,,1979/02/28
b2,"Huron Valley Hospital, Inc. v. Pontiac","United States District Court for the Eastern District of Michigan, Southern Division",2-Mar-79,Civ. No. 78-72970,165,District,,,1979/03/02
b2,Murphy Tugboat Co. v. Shipowners & Merchants Towboat Co.,United States District Court for the Northern District of California,6-Mar-79,No. C-74-0189-WWS,180,District,,,1979/03/06
b2,"Wilder Enterprises, Inc. v. Allied Artists Pictures Corp.","United States District Court for the Eastern District of Virginia, Norfolk Division.","March 6, 1979, Filed; Affirmed in Part, Vacated in Part and Remanded Ocotober 3, 1980",Civil Action No. 77-637-N.,205,District,,,"1979/03/06, 1980/03/01"
b2,Mullins v. Kaiser Steel Corp.,United States District Court for the District of Columbia,9-Mar-79,Civ. A. No. 78-0650,212,District,,,1979/03/09
b2,"Cernuto, Inc. v. United Cabinet Corp.",United States Court of Appeals for the Third Circuit,"January 16, 1979, Argued ; March 16, 1979, Decided",No. 78-1872,217,Appeal,1979/1/16,1979/3/16,
b2,Pireno v. New York State Chiropratic Asso.,United States District Court for the Southern District of New York,16-Mar-79,76 Civ. 4309,228,District,,,1979/03/16
b2,"United States v. Southern Motor Carriers Rate Conference, Inc.","United States District Court for the Northern District of Georgia, Atlanta Division","March 20, 1979 ; March 20, 1979, Filed",Civ. A. No. 76-1909A,239,District,,,"1979/03/20, 1979/03/20"
b2,"Knutson v. Daily Review, Inc.",United States District Court for the Northern District of California,21-Mar-79,No. C-73-1354-CBR,261,District,,,1979/03/21
b2,"Paceco, Inc. v. Ishikawajima-Harima Heavy Industries Co.",United States District Court for the Northern District of California,22-Mar-79,No. C-78-910 ACW,275,District,,,1979/03/22
b2,"Mid-West Paper Products Co. v. Continental Group, Inc.",United States Court of Appeals for the Third Circuit,"December 12, 1978, Argued ; March 26, 1979, Decided","Nos. 78-1736, 78-1746, 78-1776, 78-1796",286,Appeal,1978/12/12,1979/3/26,
b2,"Elida, Inc. v. Harmor Realty Corp.",Supreme Court of Connecticut,"December 13, 1978, Argued ; April 3, 1979, Decided",No Number in Original,317,Supreme,1978/12/13,1979/4/3,
b2,"Mannington Mills, Inc. v. Congoleum Corp.",United States Court of Appeals for the Third Circuit,"January 15, 1979, Argued ; April 3, 1979, Decided",No. 78-1845,326,Appeal,1979/1/15,1979/4/3,
b2,Fradette v. American Service Corp.,United States District Court for the Southern District of Florida.,"April 5, 1979, Filed",Case No. 76-6373-Civ-CA; Case No. 76-1894-Civ-CA.,344,District,,,1979/04/05
b2,Mason City Center Associates v. Mason City,"United States District Court for the Northern District of Iowa, Cedar Rapids Division",5-Apr-79,No. C 78-106,349,District,,,1979/04/05
b2,"Consolidated Express, Inc. v. New York Shipping Asso.",United States Court of Appeals for the Third Circuit,"November 14, 1978, Argued ; April 16, 1979, Decided","Nos. 78-1529, 78-1530",359,Appeal,1978/11/14,1979/4/16,
b2,"Broadcast Music, Inc. v. Columbia Broadcasting System, Inc.",Supreme Court of the United States,"January 15, 1979, Argued ; April 17, 1979, Decided",No. 77-1578,394,Supreme,1979/1/15,1979/4/17,
b2,In re Armored Car Antitrust Litigation,"United States District Court for the Northern District of Georgia, Atlanta Division",18-Apr-79,Civ. A. No. 78-139A,418,District,,,1979/04/18
b2,"Caribe Trailers Systems, Inc. v. Puerto Rico Maritime Shipping Authority",United States District Court for the District of Columbia,19-Apr-79,Civ. A. No. 78-0435,449,District,,,1979/04/19
b2,United States v. Foley,United States Court of Appeals for the Fourth Circuit,"October 5, 1978, Argued ; April 19, 1979, Decided",Nos. 78-5013 to 78-5019,466,Appeal,1978/10/5,1979/4/19,
b2,Industrial Inv. Dev. Corp. v. Mitsui & Co.,United States Court of Appeals for the Fifth Circuit,25-Apr-79,No. 78-1775,483,Appeal,,,1979/04/25
b2,In re Uranium Antitrust Litig.,"United States District Court for the Northern District of Illinois, Eastern Division",30-Apr-79,"MDL 342, No. 76 C 3830",492,District,,,1979/04/30
b2,"Mac Adjustment, Inc. v. General Adjustment Bureau, Inc.",United States Court of Appeals for the Tenth Circuit,"on Briefs March 12, 1979, Submitted ; April 30, 1979, Decided",No. 77-1986,508,Appeal,,1979/4/30,1979/03/12
b2,"Amalgamated Meat Cutters & Butchers Workmen v. Wetterau Foods, Inc.",United States Court of Appeals for the Eighth Circuit,"March 14, 1979, Submitted ; May 2, 1979, Decided",No. 78-1726,515,Appeal,,1979/5/2,1979/03/14
b2,"Handgards, Inc. v. Ethicon, Inc.",United States Court of Appeals for the Ninth Circuit,3-May-79,No. 76-3150,522,Appeal,,,1979/05/03
b2,Newspaper Printing Corp. v. Galbreath,Supreme Court of Tennessee,7-May-79,No Number in Original,537,Supreme,,,1979/05/07
b2,People ex rel. Freitas v. City and County of San Francisco,"Court of Appeal of California, First Appellate District, Division Two",11-May-79,Civ. No. 43082,543,Appeal,,,1979/05/11
b2,Hecht Co. v. Southern Union Co.,United States District Court for the District of New Mexico,14-May-79,No. 78-958-M Civil,553,District,,,1979/05/14
b2,In re Ampicillin Antitrust Litig.,United States District Court for the District of Columbia,21-May-79,M.D.L. No. 50. Misc. No. 45-70,563,District,,,1979/05/21
b2,"McCourt v. California Sports, Inc.",United States Court of Appeals for the Sixth Circuit,"October 19, 1978, Argued ; May 22, 1979, Decided","Nos. 78-1462, 78-1463, 78-1464",567,Appeal,1978/10/19,1979/5/22,
b2,Shapiro v. General Motors Corp.,United States District Court for the District of Maryland,29-May-79,Civ. No. Y-71-1329,592,District,,,1979/05/29
b2,In re Corrugated Container Antitrust Litigation,"United States District Court for the Southern District of Texas, Houston Division",30-May-79,M.D.L. No. 310 (All Cases),622,District,,,1979/05/30
b2,Connecticut v. Levi Strauss & Co.,United States District Court for the District of Connecticut,31-May-79,Civ. No. H-78-455,625,District,,,1979/05/31
b2,Minnesota by Spannaus v. American Crystal Sugar Co.,"United States District Court for the District of Minnesota, Fourth Division.","May 31, 1979, Filed",Civil No. 4-79-116.,634,District,,,1979/05/31
b2,"Optivision, Inc. v. Syracuse Shopping Center Associates",United States District Court for the Northern District of New York,31-May-79,No. 79-CV-33,636,District,,,1979/05/31
b2,Far Eastern Coconut Co. v. Sun Ripe Coconut Corp.,United States District Court for the Eastern District of New York.,"June 1, 1979, Filed",No. 76 C 470.,658,District,,,1979/06/01
b2,Arizona v. Maricopa County Medical Soc.,United States District Court for the District of Arizona.,"June 5, 1979.",No. CIV-78-800 PHX WPC.,662,District,,,1979/06/05
b2,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,United States District Court for the Eastern District of Pennsylvania,6-Jun-79,"Civ. A. Nos. 74-2451, 74-3247, M.D.L. No. 189",670,District,,,1979/06/06
b2,Reiter v. Sonotone Corp.,Supreme Court of the United States,"April 25, 1979, Argued ; June 11, 1979, Decided",No. 78-690,723,Supreme,1979/4/25,1979/6/11,
b2,"LK Productions, Inc. v. American Federation of Television & Radio Artists","United States District Court for the Southern District of Texas, Houston Division",13-Jun-79,Civ. A. No. 74-H-942,736,District,,,1979/06/13
b2,Times Mirror Co. v. Federal Trade Com.,"United States District Court, Central District of California.","June 13, 1979, Filed",Civil No. 78-3422-LEW.,759,District,,,1979/06/13
b2,"California Computer Products, Inc. v. International Business Machines Corp.",United States Court of Appeals for the Ninth Circuit,21-Jun-79,No. 77-1563,769,Appeal,,,1979/06/21
b2,Outboard Marine Corp. v. Pezetel,United States District Court for the District of Delaware,22-Jun-79,Civ. A. No. 77-51,791,District,,,1979/06/22
b2,"Berkey Photo, Inc. v. Eastman Kodak Co.",United States Court of Appeals for the Second Circuit,"April 18, 1979, Argued;April 30, 1979, Submitted ; June 25, 1979, Decided","Nos. 1019, 1070, Dockets 78-7445, 78-7448",805,Appeal,1979/4/18,1979/6/25,1979/04/30
b2,Neugebauer v. A. S. Abell Co.,United States District Court for the District of Maryland,25-Jun-79,Civ. No. Y-75-776,851,District,,,1979/06/25
b2,GRAMS v. BOSS,"Court of Appeals of Wisconsin, District Iv",27-Jun-79,No. 78-567,869,Appeal,,,1979/06/27
b2,Fruehauf Corp. v. Federal Trade Com.,United States Court of Appeals for the Second Circuit,"December 11, 1978, Argued ; June 28, 1979, Decided","No. 278, Docket 78-4053",877,Appeal,1978/12/11,1979/6/28,
b2,"McNulty v. Borden, Inc.",United States District Court for the Eastern District of Pennsylvania,3-Jul-79,Civ. A. No. 76-3952,894,District,,,1979/07/03
b2,Central Iowa Power Cooperative v. Federal Energy Regulatory Com.,United States Court of Appeals for the District of Columbia Circuit,"November 30, 1978, Argued ; July 9, 1979, Decided","Nos. 77-1914, 77-1916, 77-1924",905,Appeal,1978/11/30,1979/7/9,
b2,Security Tire & Rubber Co. v. Gates Rubber Co.,United States Court of Appeals for the Fifth Circuit,12-Jul-79,No. 77-1943,921,Appeal,,,1979/07/12
b2,"Larry v. Muko, Inc. v. Southwestern Pennsylvania Bldg. & Constr. Trades Council",United States Court of Appeals for the Third Circuit,"May 24, 1978, Argued, Reargued En Banc May 17, 1979; July 20, 1979, Decided",No. 77-2259,928,Appeal,,1979/7/20,
b2,"United States v. Continental Group, Inc.",United States Court of Appeals for the Third Circuit,"April 3, 1979, Argued ; July 20, 1979, Decided","Nos. 78-2328, 78-2330 to 78-2332",946,Appeal,1979/4/3,1979/7/20,
b2,"Sherman v. British Leyland Motors, Ltd.",United States Court of Appeals for the Ninth Circuit,24-Jul-79,"Nos. 76-3172, 76-3582",970,Appeal,,,1979/07/24
b2,Juneau Square Corp. v. First Wisconsin Nat'l Bank,United States District Court for the Eastern District of Wisconsin,31-Jul-79,Civ. A. No. 72-C-533,995,District,,,1979/07/31
b2,"Mannington Mills, Inc. v. Congoleum Indus.",United States Court of Appeals for the Third Circuit,"June 5, 1979, Argued ; August 1, 1979, Decided",No. 78-2431,1011,Appeal,1979/6/5,1979/8/1,
b2,N. Am. Soccer League v. Nfl,United States District Court for the Southern District of New York,2-Aug-79,78 Civ. 4560-CSH,1029,District,,,1979/08/02
b2,Amalgamated Clothing & Textile Workers Union v. J. P. Stevens & Co.,United States District Court for the Southern District of New York,3-Aug-79,No. 77 Civ. 5444-CSH,1031,District,,,1979/08/03
b2,People v. Roth,"County Court of New York, Trial Term, Nassau County",10-Aug-79,No Number in Original,1041,,,,1979/08/10
b2,In re Beef Industry Antitrust Litigation,United States Court of Appeals for the Fifth Circuit,17-Aug-79,Nos. 78-1817 78-1829,1046,Appeal,,,1979/08/17
b2,"Catalano, Inc. v. Target Sales, Inc.",United States Court of Appeals for the Ninth Circuit,20-Aug-79,"Nos. 77-2221, 77-2222",1072,Appeal,,,1979/08/20
b2,"People v. Mobile Magic Sales, Inc.","Court of Appeal of California, Fourth Appellate District, Division One",20-Aug-79,Civ. No. 18350,1081,Appeal,,,1979/08/20
b2,Card v. National Life Ins. Co.,United States Court of Appeals for the Tenth Circuit,"July 19, 1979, Argued ; August 21, 1979, Decided",No. 78-1180,1094,Appeal,1979/7/19,1979/8/21,
b2,Jennings Oil Co. v. Mobil Oil Corp.,United States District Court for the Southern District of New York,23-Aug-79,No. 77 Civ. 1398 (HFW),1102,District,,,1979/08/23
b2,"Anderson Foreign Motors, Inc. v. New England Toyota Distributors, Inc.",United States District Court for the District of Massachusetts,29-Aug-79,Civ. A. No. 76-417-G,1109,District,,,1979/08/29
b2,Penne v. Greater Minneapolis Area Board of Realtors,United States Court of Appeals for the Eighth Circuit,"February 15, 1979, Submitted ; September 5, 1979, Decided",No. 78-1776,1127,Appeal,,1979/9/5,1979/02/15
b2,"Las Vegas Drive-In Theatre, Inc. v. National General Theatres, Inc.",United States District Court for the District of Nevada.,"September 7, 1979, Filed",No. Civ. LV-1724 RDF.,1135,District,,,1979/09/07
b2,"Fischer, Spuhl, Herzwurm & Associates, Inc. v. Forrest T. Jones & Co.",Supreme Court of Missouri,11-Sep-79,No. 60720,1141,Supreme,,,1979/09/11
b2,State v. Heritage Realty,Supreme Court of Vermont,"September 13, 1979, Opinion filed",No. 49-79,1152,Supreme,,,1979/09/13
b2,In re Fertilizer Antitrust Litigation,United States District Court for the Eastern District of Washington.,"September 14, 1979, Filed",Master File No. MF-75-1.,1158,District,,,1979/09/14
b2,United States v. Tracinda Inv. Corp.,"United States District Court, Central District of California",14-Sep-79,No. CV 79-0174-AAH (SX),1168,District,,,1979/09/14
b2,"International Asso. of Machinists & Aerospace Workers, (""IAM"") v. Organization of Petroleum Exporting Countries (""OPEC"")","United States District Court, Central District of California",18-Sep-79,No. 78-5012-AAH (SX),1206,District,,,1979/09/18
b2,Photovest Corp. v. Fotomat Corp.,United States Court of Appeals for the Seventh Circuit,"January 22, 1979, Argued ; September 24, 1979, Decided","Nos. 77-1741, 77-1742",1237,Appeal,1979/1/22,1979/9/24,
b2,"Champaign-Urbana News Agency, Inc. v. J. L. Cummins News Co.","United States District Court, Central District of Illinois",26-Sep-79,No. 76-2-167,1264,District,,,1979/09/26
b2,Reading Indus. v. Kennecott Copper Corp.,United States District Court for the Southern District of New York,26-Sep-79,No. 71 Civ. 1736,1276,District,,,1979/09/26
b2,"Encoder Communications, Inc. v. Telegen, Inc.",United States District Court for the Southern District of New York,27-Sep-79,72 Civ. 3576-CSH,1287,District,,,1979/09/27
b2,"Aladdin Oil Co. v. Texaco, Inc.",United States Court of Appeals for the Fifth Circuit,28-Sep-79,No. 77-2554,1292,Appeal,,,1979/09/28
b2,Bass v. Boston Five Cent Sav. Bank,United States District Court for the District of Massachusetts,28-Sep-79,Civ. A. Nos. 72-2282-C through 72-2889-C,1304,District,,,1979/09/28
b2,In re Fine Paper Antitrust Litigation,United States District Court for the Eastern District of Pennsylvania.,"October 2, 1979; Vacated and Remanded October 2, 1980",Dkt. No. MDL 323.,1314,District,,,"1979/10/02, 1980/10/02"
b2,Oleksy v. Sisters of Mercy,Court of Appeals of Michigan,"August 29, 1979, Submitted ; October 2, 1979, Decided",Docket No. 44455,1319,Appeal,,1979/10/2,1979/08/29
b2,Citicorp v. Interbank Card Asso.,United States District Court for the Southern District of New York,3-Oct-79,No. 78 Civ. 1632 (JMC),1332,District,,,1979/10/03
b2,Duryea v. Third Northwestern Nat'l Bank,United States Court of Appeals for the Eighth Circuit,"September 20, 1979, Submitted ; October 9, 1979, Decided",No. 78-1740,1343,Appeal,,1979/10/9,1979/09/20
b2,Hometowne Builders v. Atlantic Nat'l Bank,"United States District Court for the Eastern District of Virginia, Norfolk Division",10-Oct-79,Civ. A. No. 79-481-N,1347,District,,,1979/10/10
b2,H. J. Hodes & Co. v. Triangle Brass & Specialties Co.,"United States District Court for the Western District of Missouri, Western Division.","October 11, 1979.",No. 79-0673-CV-W-3.,1355,District,,,1979/10/11
b2,Byars v. Bluff City News Co.,United States Court of Appeals for the Sixth Circuit,"November 30, 1978, Argued ; October 16, 1979, Decided",No. 77-1227,1368,Appeal,1978/11/30,1979/10/16,
b2,"Open Pantry Food Marts, Inc. v. Falcone",Court of Appeals of Wisconsin,"September 13, 1979, Submitted on Briefs ; October 16, 1979, Decided",No. 79-098,1392,Appeal,,1979/10/16,1979/09/13
b2,"Wilson P. Abraham Constr. Corp. v. Texas Industries, Inc.",United States Court of Appeals for the Fifth Circuit,16-Oct-79,No. 78-1788,1397,Appeal,,,1979/10/16
b2,In re IBM Peripheral EDP Devices Antitrust Litigation,United States District Court for the Northern District of California,18-Oct-79,"No. C-73-1832 RHS, MDL No. 163-RM",1410,District,,,1979/10/18
b2,"Suburban Mobile Homes, Inc. v. AMFAC Communities, Inc.","Court of Appeal of California, First Appellate District, Division Two","October 23, 1979, Filed",Civ. No. 40428.,1458,Appeal,,,1979/10/23
b2,Arnott v. American Oil Co.,United States Court of Appeals for the Eighth Circuit,"June 16, 1979, Submitted ; October 24, 1979, Decided",No. 79-1150,1470,Appeal,,1979/10/24,1979/06/16
b2,"Ambook Enterprises v. Time, Inc.",United States Court of Appeals for the Second Circuit,"May 31, 1979, Argued ; October 29, 1979, Decided","No. 1105, Docket 79-7184",1492,Appeal,1979/5/31,1979/10/29,
b2,"Essential Communications Systems, Inc. v. American Tel. & Tel. Co.",United States Court of Appeals for the Third Circuit,"September 7, 1979, Argued ; October 30, 1979, Filed",No. 78-2521,1510,Appeal,1979/9/7,,1979/10/30
b2,"Perington Wholesale, Inc. v. Burger King Corp.",United States Court of Appeals for the Tenth Circuit,"March 13, 1979, Argued ; October 31, 1979, Decided",No. 77-1877,1522,Appeal,1979/3/13,1979/10/31,
b2,Consolidated Farmers Mut. Ins. Co. v. Anchor Sav. Asso.,United States District Court for the District of Kansas,7-Nov-79,No. 78-4094,1536,District,,,1979/11/07
b3,Bartholomew v. Virginia Chiropractors Asso.,United States Court of Appeals for the Fourth Circuit,"April 5, 1979, Argued ; November 20, 1979, Decided",Nos. 78-1734 to 78-1736,21,Appeal,1979/4/5,1979/11/20,
b3,Hew Corp. v. Tandy Corp.,United States District Court for the District of Massachusetts,21-Nov-79,Civ. A. No. 73-2654-F,31,District,,,1979/11/21
b3,Associated General Contractors v. Otter Tail Power Co.,United States Court of Appeals for the Eighth Circuit,"April 18, 1979, Submitted ; November 27, 1979, Decided",No. 78-1828,38,Appeal,,1979/11/27,1979/04/18
b3,Guild Wineries & Distilleries v. J. Sosnick & Sons,"Court of Appeal of California, First Appellate District, Division Four","November 30, 1979, Filed",Civ. No. 42953,50,Appeal,,,1979/11/30
