pdf,Title,Court,Date,No,page
a8,Action on Safety & Health v. FTC,United States Court of Appeals for the District of Columbia Circuit,"January 14, 1974, Argued ; April 17, 1974, Decided",No. 73-1266,219
a8,"Coniglio v. Highwood Services, Inc.",United States Court of Appeals for the Second Circuit,"March 27, 1974 ; April 17, 1974, Decided","Docket No. 73-2448 No. 738, September Term, 1973",229
a8,Crawford v. American Title Ins. Co.,"U.S. District Court for the Northern District of Alabama, Southern Division.","April 17, 1974.",Civil Action No. 73-L-703.,237
a8,In re Yarn Process Patent Validity & Anti-Trust Litigation,United States District Court for the Southern District of Florida,25-Apr-74,M.D.L. No. 82,240
a8,Medusa Corp. v. Gordon,United States Court of Appeals for the Sixth Circuit,"April 25, 1974, Decided",No. 73-1889,271
a8,"Greenville Pub. Co. v. Daily Reflector, Inc.",United States Court of Appeals for the Fourth Circuit,"March 6, 1974, Argued ; May 1, 1974, Decided",No. 73-2323,275
a8,"Gaines v. Carrollton Tobacco Bd. of Trade, Inc.",United States Court of Appeals for the Sixth Circuit,"May 2, 1974, Decided",No. 73-1450,285
a8,Goldfarb v. Virginia State Bar,United States Court of Appeals for the Fourth Circuit,"November 7, 1973, Argued ; May 8, 1974, Decided","No. 73-1247, No. 73-1248",289
a8,Kreager v. General Electric Co.,United States Court of Appeals for the Second Circuit,"January 7, 1974, Argued ; May 13, 1974, Decided","Dockets Nos. 73-1987, 73-2577, Nos. 124, 637 - September Term, 1973",315
a8,"Winn--Dixie Stores, Inc. v. Federal Trade Com.","United States District Court for the Middle District of Florida, Jacksonville Division",17-May-74,No. 73-863-Civ-J-S,321
a8,Wesley-Jessen Inc. v. Reynolds,"United States District Court for the Northern District of Illinois, Eastern Division",23-May-74,72 C 1677,333
a8,"Duplan Corp. v. Deering Milliken, Inc.","United States District Court for the District of South Carolina, Spartanburg Division",30-May-74,"96, 71-97, 71-98, 71-99, 71-100, 71-101, 71-102, 71-115, 71-126, 71-127, 71-283",351
a8,Jacobi v. Bache & Co.,United States District Court for the Southern District of New York,3-Jun-74,No. 70 Civ. 3152 (RJW),401
a8,"Missouri Portland Cement Co. v. Cargill, Inc.",United States Court of Appeals for the Second Circuit,"May 3, 1974, Argued ; June 10, 1974, Decided","Docket Nos. 74-1024 74-1025, Nos. 1090 1091 - September Term, 1973.",412
a8,"Romac Resources, Inc. v. Hartford Acci. & Indem. Co.",United States District Court for the District of Connecticut,18-Jun-74,"Consolidated Civil Action Nos. 11,386, 11,464",434
a8,In re Hotel Tel. Charges,United States Court of Appeals for the Ninth Circuit,19-Jun-74,No. 73-1107,450
a8,Riccardi v. Modern Silver Linen Supply Co.,"Supreme Court of New York, Appellate Division, First Department",27-Jun-74,No Number in Original,457
a8,"Margrove, Inc. v. Upstate Milk Cooperative, Inc.","Supreme Court of New York, Monroe County",3-Jul-74,No Number in Original,467
a8,"People ex rel. Scott v. Convenient Food Mart, Inc.","Appellate Court of Illinois, First District, Third Division","July 3, 1974.  ; July 3, 1974, Filed",No. 57117,473
a8,Wendkos v. ABC Consol. Corp.,United States District Court for the Eastern District of Pennsylvania,12-Jul-74,"CIVIL ACTION Nos. 38542, 38543",485
a8,"New Mexico v. American Petrofina, Inc.",United States Court of Appeals for the Ninth Circuit,17-Jul-74,No. 26182,494
a8,NORMAN'S v. WEST INDIES CORP.,In the District Court of the Virgin Islands Division of St. Thomas and St. John,17-Jul-74,CIVIL NO. 515/1973 ANTITRUST,504
a8,"Missouri Portland Cement Co. v. Cargill, Inc.",Supreme Court of the United States,"July 25, 1974, Dismissed",No. A-1265 (73-2014),520
a8,"Clairol, Inc. v. Cosmetics Plus","Superior Court of New Jersey, Chancery Division","July 26, 1974, Decided",No Number in Original,523
a8,"Response of Carolina v. Leasco Response, Inc.",United States Court of Appeals for the Fifth Circuit,31-Jul-74,"Nos. 73-3362, 73-4008, 73-4009",535
a8,"Professional Adjusting Systems, Inc. v. General Adjustment Bureau, Inc.",United States District Court for the Southern District of New York,6-Aug-74,"Nos. 72 Civ. 5122 MIG, 73 Civ. 848 MIG MDL-127, M-19-108",543
a8,"Pollock & Riley, Inc. v. Pearl Brewing Co.",United States Court of Appeals for the Fifth Circuit,15-Aug-74,"Nos. 73-3771, 74-1661",551
a8,"Fuchs Sugars & Syrups, Inc. v. Amstar Corp.",United States District Court for the Southern District of New York,"August 28, 1974, Filed",No. 74 Civ. 2945 RJW,559
a8,Thompson v. T. F. I. Cos.,"United States District Court for the Northern District of Illinois, Eastern Division","August 28, 1974, Filed",No. 72 C 3105,564
a8,"Fredrickson v. Merrill Lynch, Pierce, Fenner & Smith, Inc.","United States District Court for the Northern District of Illinois, Eastern Division",9-Sep-74,No. 73 C 216,574
a8,W. L. Gore & Assocs. v. Carlisle Corp.,United States District Court for the District of Delaware,9-Sep-74,Civ. A. No. 4160,581
a8,Lehrman v. Gulf Oil Corp.,United States Court of Appeals for the Fifth Circuit,11-Sep-74,No. 73-2822,603
a8,"E. J. Delaney Corp. v. Bonne Bell, Inc.",United States District Court for the District of Colorado.,"September 20, 1974.",Civil Action C-3755.,616
a8,Fox v. James B. Beam Distilling Co.,"U.S. District Court for the Southern District of Indiana, Indianapolis Division.","September 25, 1974.",No. IP 73-C-79.,624
a8,United States v. General Motors Corp.,United States District Court for the Eastern District of Michigan Southern Division,26-Sep-74,Civil Action No. 38219,629
a8,"David R. McGeorge Car Co. v. Leyland Motor Sales, Inc.",United States Court of Appeals for the Fourth Circuit,"February 7, 1974, Argued ; October 1, 1974, Decided","Nos. 73-2114, 73-2115",648
a8,"Morse Bros., Inc. v. International Union of Operating Engineers, Local Union No. 701",U.S. District Court for the District of Oregon.,"October 1, 1974, Filed",Civil No. 71-515.,656
a8,Willmar Poultry Co. v. Morton-Norwich Prods.,"U.S. District Court for the District of Minnesota, Fourth Division.","October 1, 1974.",No. 4-74-Civ. 276.,667
a8,Connors v. Kramer,United States District Court for the Southern District of New York.,"October 2, 1974.",No. 74 Civ. 2894.,671
a8,Mitgang v. Western Title Ins. Co.,United States District Court for the Northern District of California.,"October 16, 1974.",No. C 70-1620 OJC.,674
a8,Akron Tire Supply Co. v. Gebr. Hofmann KG,"United States District Court for the Northern District of Ohio, Eastern Division",25-Oct-74,No. C 74-13,677
a8,"Matuszak v. Houston Oilers, Inc.","Court of Civil Appeals of Texas, Fourteenth District, Houston",30-Oct-74,No. 1098,686
a8,Gifford-Hill & Co. v. FTC,United States District Court for the District of Columbia,13-Nov-74,Civil Action No. 74-1265,692
a8,Coca-Cola Co. v. Howard Johnson Co.,"United States District Court for the Northern District of Georgia, Atlanta Division",15-Nov-74,Civil Action File No. C 74-870 A,703
a8,Mastandrea v. Gurrentz International Corp.,United States District Court for the Western District of Pennsylvania,21-Nov-74,"Civil Action Nos. 74-553, 74-554",715
a8,United States v. Oregon State Bar,United States District Court for the District of Oregon,25-Nov-74,Civil No. 74-362,719
a8,"Boston Pneumatics, Inc. v. Ingersoll-Rand",United States District Court for the Eastern District of Pennsylvania,2-Dec-74,Civil Action No. 72-1729,730
a8,Redd v. Shell Oil Co.,"United States District Court for the District of Utah, Central Division",2-Dec-74,No. C 104-71,734
a8,In re Pittsburgh & L. E. R.R. Co. Sec. & Antitrust Litigation,United States District Court for the Eastern District of Pennsylvania,6-Dec-74,M.D.L. DOCKET No. 134 ALL CASES,752
a8,Mendenhall v. Fleming Co.,United States Court of Appeals for the Fifth Circuit,9-Dec-74,No. 74-1943,758
a8,"Thau-Nolde, Inc. v. Krause Dental Supply & Gold Co.","Supreme Court of Missouri, Division Two",16-Dec-74,No. 57517,761
a8,GULF OIL CORP. v. COPP,Supreme Court of the United States,"October 21-22, 1974, Argued ; December 17, 1974, Decided",No. 73-1012,768
a8,Carlson Cos. v. Sperry & Hutchinson Co.,United States Court of Appeals for the Eighth Circuit,"October 18, 1974, Submitted ; December 19, 1974, Decided",No. 74-1540,786
a8,Kapp v. National Football League,United States District Court for the Northern District of California,20-Dec-74,No. C-72-537 WTS,792
a8,"Kline v. Coldwell, Banker & Co.",United States Court of Appeals for the Ninth Circuit,20-Dec-74,No. 73-2169,809
a8,Cokeley v. Tandy Corp.,U.S. District Court for the Northern District of California.,"December 24, 1974.","Civil No. 71-1173 GBH, Civil No. 73-0968 GBH, Civil No. 73-0969 GBH.",824
a8,"Zestee Foods, Inc. v. Fruehauf Corp.","United States District Court for the Northern District of Oklahoma, Civil Division",27-Dec-74,No. 72-C-332,829
a8,"Burger Chef Systems, Inc. v. Tenth & Commercial Corp.",United States District Court for the Southern District of New York.,"January 6, 1975.",No. 74 Civ. 4624 (MP).,834
a8,"REA Express, Inc. v. UPS of America",United States District Court for the Northern District of California.,"January 9, 1975.",No. C-74-385-CBR.,839
a8,"Otis Elevator Co. v. John J. Reynolds, Inc.","Supreme Court of New York, Special Term, New York County",15-Jan-75,No Number in Original,841
a8,In re Toilet Seat Antitrust Litigation,Judicial Panel On Multidistrict Litigation,17-Jan-75,No. 184,844
a8,Thomas v. Amerada Hess Corp.,United States District Court for the Middle District of Pennsylvania,17-Jan-75,CIVIL ACTION No. 73-277,847
a8,Corning Glass Works v. FTC,United States Court of Appeals for the Seventh Circuit,"April 18, 1974, Argued ; January 29, 1975, Decided",No. 73-1723,867
a8,Pecora Oil Co. v. Shell Oil Co.,"United States District Court for the Northern District of Illinois, Eastern Division.","February 5, 1975.",No. 73 C 1315.,881
a8,"Rex Chainbelt, Inc. v. Harco Prods.",United States Court of Appeals for the Ninth Circuit,6-Feb-75,"Nos. 73-2139, 73-2059",888
a8,"Call Carl, Inc. v. BP Oil Corp.",United States District Court for the District of Maryland,10-Feb-75,Civil No. 73-1059-Y,903
a8,Robertson v. National Basketball Asso.,United States District Court for the Southern District of New York,14-Feb-75,No. 70 Civ. 1526,920
a8,Carroll v. Protection Maritime Ins. Co.,United States Court of Appeals for the First Circuit,"February 19, 1975, Decided",No. 74-1309,962
a8,"United States v. Blue Bell, Inc.","United States District Court for the Middle District of Tennessee, Nashville Division",19-Feb-75,Civil Action No. 7004,969
a8,Bowen v. Wohl Shoe Co.,"United States District Court for the Southern District of Texas, Houston Division",20-Feb-75,CIVIL ACTION NO. 73-H-1153,983
a8,"Twin City Sportservice, Inc. v. Charles O. Finley & Co.",United States Court of Appeals for the Ninth Circuit,21-Feb-75,"Nos. 73-1126, 73-1585",995
a8,"Audio Warehouse Sales, Inc. v. U.S. Pioneer Electronics Corp.",United States District Court for the District of Columbia.,"March 11, 1975.","Civil Action Nos. 2162-73, 312-74.",1008
a8,"Ungar v. Dunkin' Donuts of America, Inc.",United States District Court for the Eastern District of Pennsylvania,12-Mar-75,"Civil Action Nos. 72-88, 72-1526.",1014
a8,"Copper Liquor, Inc. v. Adolph Coors Co.",United States Court of Appeals for the Fifth Circuit,17-Mar-75,No. 73-3913,1091
a8,Bogosian v. Gulf Oil Corp.,United States District Court for the Eastern District of Pennsylvania,15-Apr-75,"CIVIL ACTION No. 71-1137, CIVIL ACTION No. 71-2543",1093
a8,Heatransfer Corp. v. Volkswagenwerk A.G.,"United States District Court for the Southern District of Texas, Houston Division.","April 25, 1975.",Civil Action No. 72-H-1429.,1103
a8,IT&T v. General Tel. & Elecs. Corp.,United States Court of Appeals for the Ninth Circuit,25-Apr-75,No. 73-1513,1112
a8,"United States v. M.P.M., Inc.",United States District Court for the District of Colorado,25-Apr-75,Civil Action No. C-3917,1140
a8,Markham v. Gray,United States District Court for the Western District of New York,1-May-75,No. Civ. 1973-547,1167
a8,Mishawaka v. Indiana & Michigan Electric Co.,"United States District Court for the Northern District of Indiana, South Bend Division.","May 1, 1975.",Civil Action No. S 74-72.,1171
a8,United States v. Empire Gas Corp.,"United States District Court for the Western District of Missouri, Western Division",6-May-75,No. 20485-1,1197
a8,Zenith Radio Corp. v. Matsushita Electric Industrial Co.,United States District Court for the Eastern District of Pennsylvania,7-May-75,"CIVIL ACTION Nos. 74-2451, 74-3247, M.D.L. No. 189",1208
a8,"Borman's, Inc. v. Great Scott Super Markets, Inc.","United States District Court for the Eastern District of Michigan, Southern Division",9-May-75,Civil Action No. 4-72911,1272
a8,Evans v. S. S. Kresge Co.,United States District Court for the Western District of Pennsylvania,13-May-75,Civil Action No. 71-85,1282
a9,Lektro-Vend Corp. v. Vendo Co.,"United States District Court for the Northern District of Illinois, Eastern Division",29-May-75,No. 65 C 1755,21
a9,Connell Constr. Co. v. Plumbers & Steamfitters Local Union No. 100,Supreme Court of the United States,"Argued November 19, 1974 ; June 2, 1975",No. 73-1256,34
a9,United States v. Citizens & Southern Nat'l Bank,Supreme Court of the United States,"Argued March 19, 1975 ; June 17, 1975",No. 73-1933,59
a9,"First Del. Valley Citizens TV, Inc. v. CBS, Inc.",United States District Court for the Eastern District of Pennsylvania,18-Jun-75,Civil Action No. 75-1152,98
a9,General Beverage Sales Co.-Oshkosh v. East Side Winery,United States District Court for the Eastern District of Wisconsin,23-Jun-75,Civil Action No. 72-C-240,106
a9,Karam v. H. E. Butt Grocery Co.,"Court of Civil Appeals of Texas, Fourth District, San Antonio",25-Jun-75,No. 15397,114
a9,Mobil Oil Corp. v. Rubenfeld,"Supreme Court of New York, Appellate Division, Second Department",7-Jul-75,No Number in Original,119
a9,Sulmeyer v. Coca Cola Co.,United States Court of Appeals for the Fifth Circuit,11-Jul-75,No. 73-2231,129
a9,Holland v. Goodyear Tire & Rubber Co.,"United States District Court for the Northern District of Ohio, Eastern Division",18-Jul-75,No. C73-867,146
a9,"Burdett Sound, Inc. v. Altec Corp.",United States Court of Appeals for the Fifth Circuit,21-Jul-75,No. 74-2708,155
a9,"Van Dyke Ford, Inc. v. Ford Motor Co.",United States District Court for the Eastern District of Wisconsin,14-Aug-75,No. 75-C-45,159
a9,Malamud v. Sinclair Oil Corp.,United States Court of Appeals for the Sixth Circuit,19-Aug-75,No. 74-2268,167
a9,Mazzola v. Southern New England Tel. Co.,Supreme Court of Connecticut,"May 7, 1975, Argued ; August 19, 1975, Decided",No Number in Original,178
a9,Crawford v. American Title Ins. Co.,United States Court of Appeals for the Fifth Circuit,27-Aug-75,No. 74-2242,195
a9,"Urban Products International, Ltd. v. National Disposal Service","Appellate Court of Illinois, First District, First Division","September 15, 1975, Filed",No. 60999,216
a9,"Madison Fund, Inc. v. Charter Co.",United States District Court for the Southern District of New York,25-Sep-75,No. 73 Civ. 2633,221
a9,"Southland Reship, Inc. v. Flegel",United States District Court for the Northern District of Georgia Atlanta Division,26-Sep-75,No. C74-727A,228
a9,"Dayton Time Lock Service, Inc. v. Silent Watchman Corp.","Court of Appeal of California, Second Appellate District, Division Two",8-Oct-75,"Civ. Nos. 45438, 45929",237
a9,Roth Office Equipment Co. v. G F Business Equipment Co.,"United States District Court for the Southern District of Ohio, Western Division.","October 16, 1975.",Civil No. C-3-74-138.,245
a9,Kearney & Trecker Corp. v. Cincinnati Milacron Co.,"United States District Court for the Southern District of Ohio, Western Division",17-Oct-75,"Consolidated Civil Actions Nos. 6019, 6146",253
a9,"Beaute Craft Supply Co. v. Revlon, Inc.","United States District Court for the Eastern District of Michigan, Southern Division",21-Oct-75,CIVIL ACTION No. 5-71511,312
a9,"Call Carl, Inc. v. BP Oil Corp.",United States District Court for the District of Maryland,22-Oct-75,Civil No. 73-1059-Y,318
a9,Scharmer v. Carrollton Mfg. Co.,United States Court of Appeals for the Sixth Circuit,28-Oct-75,No. 74-2148,331
a9,"World of Sleep, Inc. v. Stearns & Foster Co.",United States Court of Appeals for the Tenth Circuit,30-Oct-75,No. 74-1730,342
a9,"V. & L. Cicione, Inc. v. C. Schmidt & Sons, Inc.",United States District Court for the Eastern District of Pennsylvania,31-Oct-75,Civil Action No. 73-1804,348
a9,Redd v. Shell Oil Co.,United States Court of Appeals for the Tenth Circuit,3-Nov-75,No. 74-1800,365
a9,Turner v. Am. Bar Ass'n,"United States District Court for the Northern District of Texas, Lubbock Division",5-Nov-75,"Civ. A. Nos. 5-74-42, 74-480, S74-84, S74-29, S75-74, 4-74-190, 74-426-P, 75-C-182",369
a9,"Eastex Aviation, Inc. v. Sperry & Hutchinson Co.",United States Court of Appeals for the Fifth Circuit,14-Nov-75,No. 74-1235,398
a9,Anaconda Co. v. Crane Co.,United States District Court for the Southern District of New York,17-Nov-75,"Nos. 75 Civ. 4535 RO, 75 Civ. 4400 IBW",409
a9,"M & T Chems., Inc. v. IBM",United States District Court for the Southern District of New York,20-Nov-75,No. 74 Civ. 5666,419
a9,"Ackerman-Chillingworth, Div. of Marsh & McLennan, Inc. v. Pacific Electrical Contractors Asso.",United States District Court for the District of Hawaii,25-Nov-75,Civil No. 74-217,426
a9,"Viacom International, Inc. v. Tandem Productions, Inc.",United States Court of Appeals for the Second Circuit,"September 29, 1975, Argued ; December 1, 1975, Decided","Docket No. 74-1674, No. 8 - September Term, 1975",445
a9,In re Grand Jury Subpoena etc.,"United States District Court for the Northern District of Georgia, Atlanta Division",5-Dec-75,No Number in Original,452
a9,Proctor v. State Farm Mut. Auto. Ins. Co.,United States District Court for the District of Columbia,18-Dec-75,Civil Action No. 249-72,462
a9,"FLM Collision Parts, Inc. v. Ford Motor Co.",United States District Court for the Southern District of New York,19-Dec-75,No. 73 Civ. 713,471
a9,"Saxer v. Philip Morris, Inc.","Court of Appeal of California, Fourth Appellate District, Division Two",23-Dec-75,Civ. No. 15246,494
a9,"Pitchford v. Pepi, Inc.",United States Court of Appeals for the Third Circuit,"September 4, 1975, Argued ; December 24, 1975, Decided","Nos. 75-1136, 75-1137",511
a9,Cities Service Oil Co. v. Burch,Court of Special Appeals of Maryland,"December 30, 1975, Decided","No. 4, September Term, 1975",533
a9,Mackey v. National Football League,"United States District Court for the District of Minnesota, Fourth Division",30-Dec-75,No. 4-72-Civil 277,543
a9,"O'Neil v. Mack Trucks, Inc.","Court of Civil Appeals of Texas, Eighth District, El Paso",31-Dec-75,No. 6467,555
a9,State v. Mobil Oil Corp.,Court of Appeals of New York,"November 18, 1975, Argued ; January 6, 1976, Decided",No Number in Original,561
a9,"Aamco Automatic Transmissions, Inc. v. Tayloe",United States District Court for the Eastern District of Pennsylvania,7-Jan-76,"Civil Action Nos. 73-391, 73-1615",570
a9,Lowe v. International Air Transport Asso.,United States District Court for the Southern District of New York.,"January 9, 1976, Filed",No. 69 Civ. 4788.,581
a9,Canadian American Oil Co. v. Union Oil Co.,United States District Court for the Northern District of California,23-Jan-76,No. C-72-2034 WHO,595
a9,Pacific Engineering & Production Co. v. Kerr-McGee Corp.,"United States District Court for the District of Utah, Central Division.","February 2, 1976.",Civil Action No. C-40-70.,600
a9,"Rea Express, Inc. v. Travelers Ins. Co.",United States District Court for the District of Columbia,2-Feb-76,Civil Action No. 2141-71,620
a9,Zelson v. Phoenix Mut. Life Ins. Co.,"United States District Court for the Eastern District of Missouri, Eastern Division",3-Feb-76,No. 75-625 C (1),627
a9,Gumerove v. Feature Ring Co.,United States District Court for the Southern District of New York.,"February 9, 1976.",No. 75 Civ. 4177.,631
a9,Anderson v. Medical Service of Dist. of Columbia,"United States District Court for the Eastern District of Virginia, Alexandria Division.","February 10, 1976.",Civil Action No. 73-470-A.,634
a9,Seasongood v. K & K Ins. Agency,"United States District Court for the Eastern District of Missouri, Eastern Division",10-Feb-76,No. 75-648C (1),639
a9,American Tel. & Tel. Co. v. Delta Communications Corp.,"United States District Court for the Southern District of Mississippi, Eastern Division",25-Feb-76,Civ. No. 1564(C),647
a9,Blake v. H-F Group Multiple Listing Service,"Appellate Court of Illinois, First District, First Division","March 1, 1976, Filed",No. 60280,686
a9,"Ungar v. Dunkin' Donuts of America, Inc.",United States Court of Appeals for the Third Circuit,"November 11, 1975, Argued ; March 3, 1976, Decided","Nos. 75-1625, 75-1626",701
a9,International Rys. of Central America v. United Brands Co.,United States Court of Appeals for the Second Circuit,"March 4, 1976, Decided","Docket Nos. 75-7165, 75-7166, Nos. 192, 193, September Term, 1975",717
a9,"Nebraska-Iowa Car Wash, Inc. v. Mobil Oil Corp.","United States District Court for the Northern District of Iowa, Western Division.","April 2, 1976, Filed",No. C 74-4042.,734
a9,Aaron E. Levine & Co. v. Calkraft Paper Co.,"United States District Court for the Eastern District of Michigan, Southern Division",8-Apr-76,Civil Action No. 74-71300,736
a9,"GTE Sylvania, Inc. v. Continental T. V., Inc.",United States Court of Appeals for the Ninth Circuit,9-Apr-76,No. 71-1705,753
a9,Central Bank of Clayton v. Clayton Bank,"United States District Court for the Eastern District of Missouri, Eastern Division",13-Apr-76,No. 75-706C (A),808
a9,Frackowiak v. Farmers Ins. Co.,United States District Court for the District of Kansas,13-Apr-76,Civ. A. No. 75-31-C2,815
a9,Alabama v. Blue Bird Body Co.,"United States District Court for the Middle District of Alabama, Northern Division",21-Apr-76,Civil Action No. 75-23-N,826
a9,Pearl Brewing Co. v. Jos. Schlitz Brewing Co.,In the United States District Court for the Southern District of Texas Houston Division,3-May-76,CIVIL ACTION No. 71-H-778A,833
a9,"Abercrombie v. Lum's, Inc.",United States Court of Appeals for the Fifth Circuit,17-May-76,No. 75-2517,852
a9,Royal Drug Co. v. Group Life & Health Ins. Co.,"United States District Court for the Western District of Texas, San Antonio Division","May 18, 1976 ; June 23, 1976, Filed",CIVIL ACTION No. SA-75-CA-131,857
a9,In re Sugar Industry Antitrust Litigation,United States District Court for the Northern District of California.,"May 21, 1976, Filed",MDL Dkt. No. 201.,866
a9,"Marin County Bd. of Realtors, Inc. v. Palsson",Supreme Court of California,24-May-76,S.F. No. 23365,946
a9,Milavetz v. Northwestern Bell Tel. Co.,"United States District Court for the District of Minnesota, Fourth Division.","May 25, 1976.",No. 4-76-Civ. 102.,961
a9,"Fleer Corp. v. Topps Chewing Gum, Inc.",United States District Court for the Eastern District of Pennsylvania,28-May-76,CIVIL ACTION,969
a9,Lektro-Vend Corp. v. Vendo Co.,United States Court of Appeals for the Seventh Circuit,"December 8, 1975, Argued ; May 28, 1976, Decided","Nos. 75-1792, 75-1793",981
a9,Broyer v. B. F. Goodrich Co.,United States District Court for the Eastern District of Pennsylvania,3-Jun-76,Civ. A. No. 75-2288,990
a9,"St. Marie & Son, Inc. v. Hartz Mountain Corp.","United States District Court for the District of Minnesota, Fourth Division",3-Jun-76,No. 4-75-Civ-638,998
a9,"Tomac, Inc. v. Coca-Cola Co.",United States District Court for the Central District of California,"June 3, 1976, Filed",No. CV 75-924-DWW,1001
a9,Droeger v. Welsh Sporting Goods Corp.,United States Court of Appeals for the Ninth Circuit,8-Jun-76,No. 74-2517,1008
a9,Frankford Hospital v. Blue Cross of Greater Philadelphia,United States District Court for the Eastern District of Pennsylvania,8-Jun-76,CIVIL ACTION No. 74-2281,1013
a9,"Associated Radio Service Co. v. Page Airways, Inc.","United States District Court for the Northern District of Texas, Dallas Division","June 10, 1976, Filed",Civil Action No. 3-7838-F,1024
a9,"Center Ins. Agency, Inc. v. Byers","United States District Court for the Northern District of Illinois, Eastern Division.","June 10, 1976.",No. 75 C 1289.,1032
a9,"Buckley Towers Condominium, Inc. v. Buchwald",United States Court of Appeals for the Fifth Circuit,17-Jun-76,No. 75-3403,1038
a9,Technicolor v. Traeger,Supreme Court of Hawaii,17-Jun-76,No. 5692,1044
a9,"Moraine Prods. v. ICI Am., Inc.",United States Court of Appeals for the Seventh Circuit,"December 2, 1975, Argued ; June 18, 1976, Decided",No. 75-1488,1053
a9,Ohio ex rel. Brown v. Klosterman French Baking Co.,"United States District Court for the Southern District of Ohio, Western Division.","June 18, 1976, Filed",Civil No. C-1-75-338.,1070
a9,United States v. R. J. Reynolds Tobacco Co.,United States District Court for the District of New Jersey,"June 22, 1976, Filed",Civil No. 1668-70,1079
a9,Inter City Oil Co. v. Murphy Oil Corp.,"United States District Court for the District of Minnesota, Fourth Division.","June 25, 1976.",No. 4-76-Civ. 65.,1091
a9,"Wisdom Rubber Industries, Inc. v. Johns-Manville Sales Corp.",United States District Court for the District of Hawaii,29-Jun-76,CIVIL No. 74-124,1114
a9,"General Communications Engineering, Inc. v. Motorola Communications & Electronics, Inc.",United States District Court for the Northern District of California,"June 30, 1976 Filed",No. C-74-0810 RFP,1121
a9,"Madison v. Hyland, Hall & Co.",Supreme Court of Wisconsin,"June 1, 1976, Argued ; June 30, 1976, Decided",No. 75-319,1143
a9,Newspaper Guild v. Levi,United States Court of Appeals for the District of Columbia Circuit,"July 1, 1976,",No. 75-1014,1166
a9,"Cullum Electric & Mechanical, Inc. v. Mechanical Contractors Asso.","United States District Court for the District of South Carolina, Greenwood Division",5-Jul-76,Civ. A. No. 75-980,1178
a9,Cantor v. Detroit Edison Co.,Supreme Court of the United States,"Argued January 14, 1976 ; July 6, 1976",No. 75-122,1192
a9,United States v. Papercraft Corp.,United States Court of Appeals for the Third Circuit,"May 6, 1976, Argued ; July 9, 1976, Filed",No. 75-2052,1224
a9,"Tugboat, Inc. v. Mobile Towing Co.",United States Court of Appeals for the Fifth Circuit,12-Jul-76,"Nos. 75-3194, 75-3344",1238
a9,"Judice's Sunshine Pontiac, Inc. v. General Motors Corp.",United States District Court for the District of New Jersey,"July 14, 1976, Filed",Civil Action No. 75-0767,1245
a9,"Carpa, Inc. v. Ward Foods, Inc.",United States Court of Appeals for the Fifth Circuit,28-Jul-76,No. 75-1206,1258
a9,Burch v. Goodyear Tire & Rubber Co.,United States District Court for the District of Maryland,29-Jul-76,Civ. No. B-75-132,1276
a9,"Allied Financial Services, Inc. v. Foremost Ins. Co.",United States District Court for the District of Nebraska,4-Aug-76,Civ. No. 76-0-69,1291
a9,Moles v. White,"Court of Appeal of Florida, Second District",6-Aug-76,No. 75-1572,1298
a9,"Big Bear Cartage, Inc. v. Air Cargo, Inc.","United States District Court for the Northern District of Illinois, Eastern Division",9-Aug-76,No. 75 C 2285,1302
a9,Rohm & Haas Co. v. Dawson Chem. Co.,"United States District Court for the Southern District of Texas, Houston Division","August 10, 1976; WITHDRAWN (In Part) November 23, 1976",CIVIL ACTION No. 74-H-790,1315
a9,"Sheldon Pontiac v. Pontiac Motor Div., General Motors Corp.",United States District Court for the District of New Jersey,24-Aug-76,Civil No. 75-556,1325
a9,"Hawkins v. Holiday Inns, Inc.","United States District Court for the Western District of Tennessee, Western Division.","August 26, 1976, Filed",No. C-74-521.,1339
a9,Pacific Maritime Asso. v. Federal Maritime Com.,United States Court of Appeals for the District of Columbia Circuit,"August 27, 1976, Decided","Case Nos. 75-1140, 75-1215",1343
a9,"Cackling Acres, Inc. v. Olson Farms, Inc.",United States Court of Appeals for the Tenth Circuit,31-Aug-76,No. 74-1850,1373
a10,"Yoder Bros., Inc. v. California-Florida Plant Corp.",United States Court of Appeals for the Fifth Circuit,7-Sep-76,No. 75-2141,21
a10,Douglas v. Hospital of St. Raphael,"Superior Court of Connecticut, Judicial District of New Haven County","September 9, 1976, Memorandum Filed",File No. 148404,65
a10,"Ohio v. Ohio Medical Indem., Inc.","United States District Court for the Southern District of Ohio, Eastern Division.","September 16, 1976, Filed",Civil Action C 275-473.,73
a10,Richard's Lumber & Supply Co. v. United States Gypsum Co.,United States Court of Appeals for the Seventh Circuit,"June 10, 1976, Argued ; September 20, 1976, Decided",No. 76-1245,81
a10,"South-West Utilities, Inc. v. South Cent. Bell Tel. Co.","Court of Appeal of Louisiana, First Circuit",20-Sep-76,"No. 10,786",85
a10,"Finlay & Associates, Inc. v. Borg-Warner Corp.","Superior Court of New Jersey, Law Division","September 22, 1976, Decided",No Number in Original,92
a10,Mackey v. NFL,United States Court of Appeals for the Eighth Circuit,"June 17, 1976, Submitted ; October 18, 1976, Decided",No. 76-1184,106
a10,In re Sugar Industry Antitrust Litigation,United States District Court for the Eastern District of Pennsylvania,21-Oct-76,"MDL Docket No. 201A, Civil Action Nos. 75-514, 75-3301, 75-2521, 75-2519, 75-2520, 75-2621, 75-2245",126
